"_","Insight_Name__c","Increment_Data__c"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000932""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000949""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000368""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000689""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000567""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000552""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000406""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001237""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001675""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001845""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000520""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001502""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000582""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000656""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000411""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001641""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""4"", ""claim_numnber__c"": ""000001129""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000678""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001236""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001855""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001047""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001455""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000558""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000693""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""4"", ""claim_numnber__c"": ""000001123""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001035""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001756""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000452""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001520""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001412""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000524""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001796""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000423""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001340""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000491""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001242""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001115""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001173""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000914""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000630""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001788""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001052""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001856""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001404""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001590""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001835""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000781""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001415""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001508""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""2"", ""claim_numnber__c"": ""000000454""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000479""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001133""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001061""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001422""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001859""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001350""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001438""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000351""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000480""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000570""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000340""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000939""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001722""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001572""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000682""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000587""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001632""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001759""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001144""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001038""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000931""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001250""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000665""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000448""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001779""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000649""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""2"", ""claim_numnber__c"": ""000001861""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000550""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000902""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""4"", ""claim_numnber__c"": ""000001120""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001191""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001692""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000549""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""2"", ""claim_numnber__c"": ""000000392""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001518""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000854""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""4"", ""claim_numnber__c"": ""000001127""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""2"", ""claim_numnber__c"": ""000000325""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000984""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001500""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000545""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000578""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000427""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000461""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000673""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001409""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""2"", ""claim_numnber__c"": ""000000342""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001750""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001777""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001490""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001036""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001672""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000846""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001268""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000677""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001803""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001426""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001754""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001710""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000547""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001729""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001306""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000404""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000359""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001202""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000383""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001468""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001680""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001721""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001092""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000560""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000542""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001793""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001708""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001664""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001621""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001512""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001439""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000905""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001153""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000409""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000662""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001548""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""2"", ""claim_numnber__c"": ""000000788""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000576""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000441""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001670""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001768""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001195""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001355""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001111""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001504""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001817""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001354""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000924""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000619""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001020""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001082""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000573""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001780""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000643""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000399""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001322""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000402""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000921""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001298""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001822""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001644""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001097""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000691""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000583""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000513""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000386""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000839""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000366""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""2"", ""claim_numnber__c"": ""000000375""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001488""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000585""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001256""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000675""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000481""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000528""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000650""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000000463""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001567""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""0"", ""claim_numnber__c"": ""000001186""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000661""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000000492""}"
"[Smart_Sync_Stage__c]","Warranty_Parts_Per_Claims_Dup2","{""number_of_inst_part__c"": ""1"", ""claim_numnber__c"": ""000001747""}"
